filename,ground_truth,prediction
h_27.png,"Say Granada T V , the producers : "" We decided to make","SOY CRANDASAV, THE PRODUCTS! ""WE SECEED TO MAKE"
h_28.png,first big T V part . The play was a brilliantly-written,A-ST REG TV ACT THE PAY WAY A WILLDAY-WITH
h_29.png,affairs . The Wesker interview will be seen at a later,OFFACIES. THE WESTER LUTENICW WILL BE SEAT AT A B
h_30.png,"craggy face , and obstinate , baffled eyes . They stripped","GREGERY TAKE, AND INSTURATE, BE,HELD AYES. THEY SH"
h_31.png,claimed he had seen a vision of God - only the padre and his,DETAIDED RELED Sassy A UISLAY OF GOOD - ONLY THE FACE AND
h_32.png,"Potter screamed during an action , and was arrested . He","POTTER SCREAVED ABOHY ON ACTION, AND WAS COMESTER. HE"
h_33.png,"him of his ugly battle-dress , to leave him for",WHAT OR WAS WGLG BEHIL CHESS TO LEAVE LIVE FOR
h_34.png,vision .,DISIOY
h_35.png,"what he was - Potter , a frightened boy who had a","WHAT BE WAS - LIFE, A FRIETENED BY CHO LED A"
h_36.png,"C O believed him . Courtenay played the part with a gawky ,","CO BELIVED WWW.CONTARY PLAYED THE NOT WITH A GIVRY,"
h_37.png,Northern defiance . The cameras played continuously on his,BARTHEN SEROVE THE CANSPAS PLAYED CONCLUSIVELY ON US
h_38.png,to the European Common Market .,TO THE EUROPEAN COMMON MARKET
h_39.png,"scene , ranging from pubs , the Eton wall game ,","SCENE, FANGING FROM PUBS, THE ETON WAD GOME,"
h_40.png,"Dennis Brogan , Shelagh Delaney , and Alan Sillitoe .","DENNIS BYOGAN, SHELAGH DELANEY, AND ALAN SIM"
h_41.png,"The film replaced "" What 's My Line ? "" and "" Be My","THE ALLM REPLACED 'WHAT'S MY LINE? AND ""BE MY"
h_42.png,British personalities . Among them - Professor,BR TISH PERSONALITIES AMONG THEM-PROFESSION
h_43.png,The film covered a wide aspect of the British,THE PLAN COVERAL A CODE ASPECT OF THE BRITISH
h_44.png,"Guest "" programmes because of an electricians'",GUEST PROGRAMES BELASE OF ON ELECTRICANS'
h_45.png,"of an American T V reporter , Eric Sevareid , and","OF AN AMERICAN TV KEPORTER, ERIC SEAKEID , AND"
h_46.png,strike . It showed Britain today through the eyes,"STRIKE, IT SHOWED BHTAIN TODAY THROUGH THE EYES"
h_47.png,Britain was slipping behind ... .,BRITEIN GAS SUPPING BEHIND...
h_48.png,to make the strongest criticisms . He said,TO MAKE THE SHANGEST DITIONS. HE SOLD
h_49.png,Shelagh Delaney and Alan Sillitoe attacked,SHELLEN DELANKY AND FLEN SILITEE ATTACREE
